trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9931728675778618}",30,0,-163.4848758953503,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.993035910822238}",20,0,-178.22174180187994,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.9928962262756112}",20,0,-90.6130552667018,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9927537604041685}",30,0,-135.63551635638203,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.992608458655718}",20,12,-9.450259104649364,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.9924602654416266}",20,0,-94.12688894930423,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9923091241184917}",30,0,-87.33037262002073,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.9921549769695444}",35,0,-78.18254807157264,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.9919977651857838}",20,0,-51.58047193153004,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9918374288468401}",30,0,-80.46992663568645,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9916739069015662}",25,0,-143.5383572614116,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9915071371483557}",25,0,-139.6568322426532,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.9913370562151869}",20,0,-88.36549408966778,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.9911635995393923}",25,0,-68.86706331604948,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9909867013471522}",20,0,-159.2830244206361,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.9908062946327119}",25,0,-146.8569210287438,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.9906223111373231}",20,12,-28.305420234357097,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.9904346813279084}",25,0,-131.6607461993655,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.9902433343754486}",25,0,-71.03920056214993,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.9900481981330956}",20,0,-68.93301788953016,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.9898491991140073}",30,0,-232.74299566504254,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 5}",0
22,False,"{'a': 0.8, 'e': 0.9896462624689083}",20,0,-87.34996043788176,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.9894393119633769}",20,0,-93.91284033137103,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.8, 'e': 0.9892282699548584}",20,0,-35.88453824870621,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.9890130573694068}",20,0,-89.95074449495222,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.9887935936781571}",20,0,-191.6777390046055,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
27,False,"{'a': 0.8, 'e': 0.9885697968735293}",25,0,-142.68575953769957,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.9883415834451669}",30,0,-167.58097274325553,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
29,False,"{'a': 0.8, 'e': 0.988108868355613}",25,0,-126.7197594657336,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.8, 'e': 0.9878715650157258}",20,0,-133.24655284728516,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
